contig_id	contig_length	total_genes	viral_genes	host_genes	provirus	proviral_length	host_length	region_types	region_lengths	region_coords_bp	region_coords_genes	region_viral_genes	region_host_genes
2012990006_____JC3AJCVIAssemblies_1106445189670	23404	48	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013338001_____MeugFOFF_C1474	13497	9	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013338001_____MeugFOFF_C1475	15877	7	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013338001_____MeugFOFF_C2873	15684	23	15	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013338001_____MeugFOFF_C2874	13607	19	15	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013338001_____MeugFOFF_C3211	9837	14	4	2	Yes	5713	4124	host,viral	4124,5713	1-4124,4125-9837	1-6,7-14	1,3	2,0
2013338001_____MeugFOFF_C3227	5495	10	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013338001_____MeugFOFF_C3886	5085	6	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
2013338001_____MeugFOFF_C4026	11395	11	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013338001_____MeugFOFF_C4295	8894	10	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013338001_____MeugFOFF_C4795	5143	7	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013338001_____MeugFOFF_C5216	5456	6	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013338002_____MeugFWYF_C6159	5135	9	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013338002_____MeugFWYF_C6321	14082	20	14	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013843001_____PLMO_C1010	7812	11	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013843001_____PLMO_C1011	20515	27	13	1	No	NA	NA	NA	NA	NA	NA	NA	NA
2013843001_____PLMO_C1280	23319	44	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013843001_____PLMO_C1410	6539	17	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013843001_____PLMO_C1550	11657	22	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013843001_____PLMO_C2323	10742	14	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013843001_____PLMO_C2429	49521	68	26	1	No	NA	NA	NA	NA	NA	NA	NA	NA
2013843001_____PLMO_C243	10298	12	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013843001_____PLMO_C2782	26715	45	11	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013843001_____PLMO_C312	16344	20	4	1	No	NA	NA	NA	NA	NA	NA	NA	NA
2013843001_____PLMO_C42	6040	9	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013843001_____PLMO_C457	8998	13	7	1	No	NA	NA	NA	NA	NA	NA	NA	NA
2013843002_____DCKB1_C1454	36570	42	22	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013843002_____DCKB1_C2382	81346	104	3	12	No	NA	NA	NA	NA	NA	NA	NA	NA
2013843002_____DCKB1_C2547	27099	48	13	1	No	NA	NA	NA	NA	NA	NA	NA	NA
2013843002_____DCKB1_C3067	6913	13	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013843002_____DCKB1_C3122	7917	13	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013843002_____DCKB1_C717	26277	39	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
2013843003_____YNP4_C4539	8423	18	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013843003_____YNP4_C4540	5953	12	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013954001_____YNP14_C4148	8751	15	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2013954001_____YNP14_C558	7545	14	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2014031003_____YNP3_C2415	10680	22	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2014031003_____YNP3_C2743	6644	11	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2014031003_____YNP3_C3059	6360	12	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2014031003_____YNP3_C3265	5160	10	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
